Cmdline: /data/bin/simpleperf record -p 19357 -o /sdcard/perf_19357.data --duration 360
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 754961
Event count: 347477464523

Children  Self   Command          Pid    Tid    Shared Object                                                                         Symbol
0.20%     0.20%  RenderThread     19357  19825  /system/lib64/libhwui.so                                                              android::uirenderer::RenderNode::prepareTreeImpl(android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool)
0.18%     0.18%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   Build
0.15%     0.15%  Thread-59        19357  21126  [kernel.kallsyms]                                                                     pte_map_lock.isra.105
0.14%     0.14%  Thread-59        19357  21127  [kernel.kallsyms]                                                                     pte_map_lock.isra.105
0.14%     0.14%  Thread-59        19357  20290  /system/lib64/libz.so                                                                 build_tree
0.13%     0.13%  RenderThread     19357  19825  /system/lib64/libhwui.so                                                              android::uirenderer::skiapipeline::SkiaDisplayList::prepareListAndChildren(android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool, std::__1::function<void (android::uirenderer::RenderNode*, android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool)>)
0.10%     0.10%  Thread-59        19357  20290  /system/lib64/libz.so                                                                 crc32_z
0.10%     0.10%  tutu.ABenchMark  19357  19357  /system/framework/arm64/boot-framework.oat                                            android.view.ViewGroup.onDescendantInvalidated
0.10%     0.10%  Thread-59        19357  20290  /system/lib64/libz.so                                                                 fill_window
0.10%     0.10%  tutu.ABenchMark  19357  19357  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/oat/arm64/base.odex          com.nineoldandroids.animation.ValueAnimator$AnimationHandler.handleMessage
0.09%     0.09%  HeapTaskDaemon   19357  19368  /system/lib64/libart.so                                                               void art::mirror::Object::VisitReferences<true, (art::VerifyObjectFlags)0, (art::ReadBarrierOption)1, art::gc::collector::ConcurrentCopying::RefFieldsVisitor, art::gc::collector::ConcurrentCopying::RefFieldsVisitor>(art::gc::collector::ConcurrentCopying::RefFieldsVisitor const&, art::gc::collector::ConcurrentCopying::RefFieldsVisitor const&)
0.09%     0.09%  Thread-59        19357  20290  /system/lib64/libc.so                                                                 memset
0.09%     0.09%  tutu.ABenchMark  19357  19357  /system/framework/arm64/boot-framework.oat                                            android.view.ViewRootImpl.performTraversals
0.09%     0.09%  tutu.ABenchMark  19357  19357  /system/framework/arm64/boot-core-oj.oat                                              java.lang.ThreadLocal.get
0.09%     0.09%  Thread-59        19357  20290  /system/lib64/libc.so                                                                 random
0.08%     0.08%  Thread-59        19357  20290  [kernel.kallsyms]                                                                     dio_bio_complete
0.08%     0.08%  Thread-59        19357  20290  /system/lib64/libc.so                                                                 pthread_mutex_unlock
0.08%     0.08%  Thread-59        19357  20290  [kernel.kallsyms]                                                                     __get_user_pages_fast
0.07%     0.07%  Thread-59        19357  20290  [kernel.kallsyms]                                                                     __blockdev_direct_IO
0.07%     0.07%  tutu.ABenchMark  19357  19357  [kernel.kallsyms]                                                                     __bpf_prog_run
0.07%     0.07%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a414]
0.07%     0.07%  Thread-59        19357  20290  [kernel.kallsyms]                                                                     _raw_spin_unlock_irqrestore
0.06%     0.06%  RenderThread     19357  19825  /vendor/lib64/egl/libGLESv2_adreno.so                                                 EsxGfxMem::UpdateTimestamp(EsxContext const*, EsxAccessType, EsxBucketIdReference*)
0.06%     0.06%  Thread-59        19357  21215  [kernel.kallsyms]                                                                     _raw_spin_unlock_irq
0.06%     0.06%  Thread-59        19357  21221  [kernel.kallsyms]                                                                     _raw_spin_unlock_irq
0.06%     0.06%  Thread-59        19357  21218  [kernel.kallsyms]                                                                     _raw_spin_unlock_irq
0.06%     0.06%  tutu.ABenchMark  19357  19357  /system/framework/arm64/boot-framework.oat                                            android.content.res.Configuration.compareTo
0.06%     0.06%  HeapTaskDaemon   19357  19368  /system/lib64/libart.so                                                               art::gc::collector::ConcurrentCopying::ProcessMarkStackRef(art::mirror::Object*)
0.06%     0.06%  Thread-59        19357  21220  [kernel.kallsyms]                                                                     _raw_spin_unlock_irq
0.06%     0.06%  Thread-59        19357  21214  [kernel.kallsyms]                                                                     _raw_spin_unlock_irq
0.06%     0.06%  Thread-59        19357  21217  [kernel.kallsyms]                                                                     _raw_spin_unlock_irq
0.06%     0.06%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a418]
0.06%     0.06%  tutu.ABenchMark  19357  19357  /system/lib64/libart.so                                                               art_quick_imt_conflict_trampoline
0.06%     0.06%  Thread-59        19357  21219  [kernel.kallsyms]                                                                     _raw_spin_unlock_irq
0.06%     0.06%  Thread-59        19357  21127  [kernel.kallsyms]                                                                     get_page_from_freelist_internal
0.06%     0.06%  Thread-59        19357  21216  [kernel.kallsyms]                                                                     _raw_spin_unlock_irq
0.06%     0.06%  RenderThread     19357  19825  /system/lib64/libhwui.so                                                              @plt
0.06%     0.06%  Thread-59        19357  21126  [kernel.kallsyms]                                                                     get_page_from_freelist_internal
0.05%     0.05%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a480]
0.05%     0.05%  RenderThread     19357  19825  /system/lib64/libhwui.so                                                              android::uirenderer::skiapipeline::RenderNodeDrawable::drawContent(SkCanvas*) const
0.05%     0.05%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a42c]
0.05%     0.05%  RenderThread     19357  19825  /system/lib64/libc.so                                                                 ifree
0.05%     0.05%  tutu.ABenchMark  19357  19357  /system/framework/arm64/boot-framework.oat                                            android.os.MessageQueue.next
0.05%     0.05%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a3e4]
0.05%     0.05%  tutu.ABenchMark  19357  19357  /system/framework/arm64/boot-framework.oat                                            android.view.View.updateDisplayListIfDirty
0.05%     0.05%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a410]
0.05%     0.05%  tutu.ABenchMark  19357  19357  /system/framework/arm64/boot-framework.oat                                            android.os.Looper.loop
0.05%     0.05%  tutu.ABenchMark  19357  19357  /system/lib64/libart.so                                                               art::InvokeMethod(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, _jobject*, _jobject*, unsigned long)
0.05%     0.05%  tutu.ABenchMark  19357  19357  /system/framework/arm64/boot-framework.oat                                            android.view.Choreographer.doCallbacks
0.05%     0.05%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a028]
0.05%     0.05%  RenderThread     19357  19825  /vendor/lib64/egl/libGLESv2_adreno.so                                                 EsxContext::ProcessAndSubmitRendering(EsxFlushReason)
0.05%     0.05%  tutu.ABenchMark  19357  19357  /system/framework/arm64/boot-framework.oat                                            android.view.Choreographer.doFrame
0.05%     0.05%  tutu.ABenchMark  19357  19357  /system/framework/arm64/boot-framework.oat                                            android.view.ViewGroup.dispatchGetDisplayList
0.04%     0.04%  Thread-59        19357  20290  [kernel.kallsyms]                                                                     _raw_spin_unlock_irq
0.04%     0.04%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a488]
0.04%     0.04%  Thread-59        19357  20290  /system/lib64/libsqlite.so                                                            sqlite3VdbeExec
0.04%     0.04%  RenderThread     19357  19825  /system/lib64/libhwui.so                                                              android::uirenderer::skiapipeline::RenderNodeDrawable::forceDraw(SkCanvas*)
0.04%     0.04%  HeapTaskDaemon   19357  19368  /system/lib64/libart.so                                                               art::gc::collector::ConcurrentCopying::PushOntoMarkStack(art::mirror::Object*)
0.04%     0.04%  tutu.ABenchMark  19357  19357  /system/lib64/libc.so                                                                 je_malloc
0.04%     0.04%  tutu.ABenchMark  19357  19357  /system/lib64/libandroid_runtime.so                                                   @plt
0.04%     0.04%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a438]
0.04%     0.04%  tutu.ABenchMark  19357  19357  /system/lib64/libart.so                                                               art::GoToRunnable(art::Thread*) (.llvm.3965591165)
0.04%     0.04%  RenderThread     19357  19825  /vendor/lib64/egl/libGLESv2_adreno.so                                                 A6xContext::ValidateState(EsxDrawDescriptor const*)
0.04%     0.04%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a47c]
0.04%     0.04%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a430]
0.04%     0.04%  Thread-59        19357  20290  [kernel.kallsyms]                                                                     __pi___clean_dcache_area_poc
0.04%     0.04%  RenderThread     19357  19825  [kernel.kallsyms]                                                                     _raw_spin_unlock_irq
0.04%     0.04%  HeapTaskDaemon   19357  19368  /system/lib64/libart.so                                                               art::gc::collector::ConcurrentCopying::VisitRoots(art::mirror::CompressedReference<art::mirror::Object>**, unsigned long, art::RootInfo const&)
0.04%     0.04%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a43c]
0.04%     0.04%  tutu.ABenchMark  19357  19357  [kernel.kallsyms]                                                                     binder_transaction
0.04%     0.04%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a40c]
0.04%     0.04%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a448]
0.04%     0.04%  tutu.ABenchMark  19357  19357  /system/lib64/libart.so                                                               art::gc::ReferenceProcessor::GetReferent(art::Thread*, art::ObjPtr<art::mirror::Reference>)
0.04%     0.04%  tutu.ABenchMark  19357  19357  /system/lib64/libart.so                                                               art::InvokeVirtualOrInterfaceWithVarArgs(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, _jmethodID*, std::__va_list)
0.04%     0.04%  Thread-59        19357  21126  [kernel.kallsyms]                                                                     __handle_speculative_fault
0.04%     0.04%  Thread-59        19357  21127  [kernel.kallsyms]                                                                     __handle_speculative_fault
0.04%     0.04%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a470]
0.04%     0.04%  tutu.ABenchMark  19357  19357  /system/lib64/libart.so                                                               art::Thread::DecodeJObject(_jobject*) const
0.04%     0.04%  Thread-59        19357  21126  [kernel.kallsyms]                                                                     el0_da
0.04%     0.04%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a408]
0.04%     0.04%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a3e8]
0.03%     0.03%  Thread-59        19357  21216  [kernel.kallsyms]                                                                     _raw_spin_unlock_irqrestore
0.03%     0.03%  RenderThread     19357  19825  /system/lib64/libhwui.so                                                              SkDrawable::draw(SkCanvas*, SkMatrix const*)
0.03%     0.03%  Thread-59        19357  21218  [kernel.kallsyms]                                                                     _raw_spin_unlock_irqrestore
0.03%     0.03%  Thread-59        19357  21211  [kernel.kallsyms]                                                                     _raw_spin_unlock_irqrestore
0.03%     0.03%  Thread-59        19357  21214  [kernel.kallsyms]                                                                     _raw_spin_unlock_irqrestore
0.03%     0.03%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a474]
0.03%     0.03%  Thread-59        19357  21210  [kernel.kallsyms]                                                                     _raw_spin_unlock_irqrestore
0.03%     0.03%  Thread-59        19357  21206  [kernel.kallsyms]                                                                     _raw_spin_unlock_irqrestore
0.03%     0.03%  Thread-59        19357  21221  [kernel.kallsyms]                                                                     _raw_spin_unlock_irqrestore
0.03%     0.03%  Thread-59        19357  21217  [kernel.kallsyms]                                                                     _raw_spin_unlock_irqrestore
0.03%     0.03%  Thread-59        19357  21207  [kernel.kallsyms]                                                                     _raw_spin_unlock_irqrestore
0.03%     0.03%  Thread-59        19357  21205  [kernel.kallsyms]                                                                     _raw_spin_unlock_irqrestore
